"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"06.06.2019","40.140","40.130","40.750","39.600","3.38M","0.32%"
"05.06.2019","40.010","39.800","40.250","39.530","1.32M","-0.02%"
"04.06.2019","40.020","39.700","40.240","39.250","2.30M","0.53%"
"03.06.2019","39.810","39.580","40.490","38.980","2.61M","0.66%"
"31.05.2019","39.550","39.200","40.170","38.280","6.52M","-0.35%"
"30.05.2019","39.690","39.420","40.500","39.210","1.28M","0.63%"
"29.05.2019","39.440","38.820","39.890","38.820","2.16M","0.97%"
"28.05.2019","39.060","39.720","39.800","38.860","8.20M","-1.91%"
"27.05.2019","39.820","39.400","40.070","39.280","996.88K","0.45%"
"24.05.2019","39.640","39.790","39.860","39.100","1.68M","-0.15%"
"23.05.2019","39.700","39.910","40.380","39.360","1.39M","-1.10%"
"22.05.2019","40.140","40.550","40.550","39.700","1.10M","-0.84%"
"21.05.2019","40.480","41.400","41.560","40.250","2.47M","-1.99%"
"20.05.2019","41.300","41.350","41.590","40.600","2.27M","-0.17%"
"17.05.2019","41.370","41.260","42.110","41.200","2.27M","-0.17%"
"16.05.2019","41.440","42.220","42.280","41.120","3.23M","-1.54%"
"15.05.2019","42.090","41.830","42.300","41.540","2.12M","-0.82%"
"14.05.2019","42.440","41.010","42.790","41.010","3.82M","1.19%"
"13.05.2019","41.940","41.840","42.350","40.520","3.32M","0.24%"
"10.05.2019","41.840","41.400","42.040","40.750","1.42M","0.55%"
"09.05.2019","41.610","42.300","42.430","41.040","2.38M","-3.32%"
"08.05.2019","43.040","42.290","43.750","41.900","2.89M","1.44%"
"07.05.2019","42.430","42.960","42.970","42.070","1.91M","-1.39%"
"06.05.2019","43.030","42.980","43.600","42.040","2.98M","0.33%"
"03.05.2019","42.890","42.700","43.330","42.000","4.57M","0.70%"
"02.05.2019","42.590","42.140","42.900","41.550","2.99M","0.88%"
"30.04.2019","42.220","41.650","42.500","40.430","2.01M","1.00%"
"29.04.2019","41.800","42.220","42.380","41.320","3.56M","-0.69%"
"26.04.2019","42.090","41.790","42.290","41.390","2.62M","1.08%"
"25.04.2019","41.640","41.270","41.760","40.780","3.04M","1.19%"
"24.04.2019","41.150","40.690","41.700","40.380","1.82M","1.18%"
"23.04.2019","40.670","40.240","40.950","40.040","3.91M","0.37%"
"22.04.2019","40.520","40.520","40.990","40.000","1.39M","0.00%"
"17.04.2019","40.520","40.510","41.340","39.810","3.67M","0.15%"
"16.04.2019","40.460","40.070","40.880","40.070","1.24M","1.15%"
"15.04.2019","40.000","39.520","40.400","39.520","1.51M","-0.70%"
"12.04.2019","40.280","40.810","40.990","39.970","1.17M","-0.93%"
"11.04.2019","40.660","41.350","41.350","40.040","1.79M","-1.81%"
"10.04.2019","41.410","41.020","41.760","40.900","2.09M","1.07%"
"09.04.2019","40.970","41.860","41.860","40.500","3.25M","-2.38%"
"08.04.2019","41.970","42.390","42.390","41.100","2.38M","-0.33%"
"05.04.2019","42.110","41.310","42.430","41.030","3.31M","2.18%"
"04.04.2019","41.210","40.600","41.480","40.500","2.06M","1.48%"
"03.04.2019","40.610","40.780","41.590","40.500","2.55M","-0.29%"
"02.04.2019","40.730","40.880","41.040","40.500","2.22M","-1.02%"
"01.04.2019","41.150","40.980","41.600","40.890","2.73M","1.40%"
"29.03.2019","40.580","40.590","40.780","40.400","3.10M","0.35%"
"28.03.2019","40.440","40.550","40.990","40.130","2.15M","-0.15%"
"27.03.2019","40.500","39.700","40.740","39.090","5.37M","2.22%"
"26.03.2019","39.620","39.310","40.000","39.020","4.27M","0.18%"
"25.03.2019","39.550","39.100","39.690","38.900","2.86M","1.18%"
"22.03.2019","39.090","39.250","39.840","38.950","3.15M","-1.59%"
"21.03.2019","39.720","39.450","39.990","38.780","3.85M","0.68%"
"20.03.2019","39.450","38.910","39.550","38.630","5.11M","1.86%"
"19.03.2019","38.730","38.870","39.150","38.230","4.88M","-0.15%"
"15.03.2019","38.790","38.580","38.850","38.000","11.64M","0.81%"
"14.03.2019","38.480","38.700","39.190","37.840","3.94M","0.03%"
"13.03.2019","38.470","38.390","38.700","38.000","5.22M","1.16%"
"12.03.2019","38.030","38.650","38.760","37.980","3.25M","-1.30%"
"11.03.2019","38.530","38.100","38.600","38.030","2.18M","1.50%"
"08.03.2019","37.960","37.690","38.240","37.260","4.37M","0.64%"
"07.03.2019","37.720","38.180","38.770","37.500","4.16M","-1.44%"
"06.03.2019","38.270","38.240","39.240","38.150","2.64M","0.08%"
"05.03.2019","38.240","38.020","38.450","37.950","2.09M","0.24%"
"04.03.2019","38.150","38.440","38.560","37.880","2.27M","-0.52%"
"01.03.2019","38.350","38.040","38.800","38.000","3.62M","0.31%"
"28.02.2019","38.230","38.540","38.980","37.800","7.38M","-0.62%"
"27.02.2019","38.470","38.160","38.700","37.610","3.45M","1.32%"
"26.02.2019","37.970","37.480","38.390","37.460","8.78M","1.55%"
"25.02.2019","37.390","37.670","38.200","37.290","3.35M","-0.74%"
"22.02.2019","37.670","37.100","38.000","37.100","9.70M","5.61%"
"21.02.2019","35.670","36.000","36.180","35.570","1.81M","-0.59%"
"20.02.2019","35.880","36.470","36.910","35.670","3.10M","-1.10%"
"19.02.2019","36.280","36.610","37.030","36.100","2.06M","-0.71%"
"18.02.2019","36.540","36.510","36.900","36.240","89.50K","-0.27%"
"15.02.2019","36.640","36.540","36.740","36.050","1.82M","0.80%"
"14.02.2019","36.350","36.590","36.610","36.000","1.48M","-0.36%"
"13.02.2019","36.480","37.370","37.430","36.340","1.98M","-1.96%"
"12.02.2019","37.210","37.450","37.590","37.100","2.74M","-0.64%"
"11.02.2019","37.450","36.700","37.600","36.700","2.70M","1.66%"
"08.02.2019","36.840","37.510","37.510","36.750","1.07M","-1.63%"
"07.02.2019","37.450","36.830","37.590","36.830","1.17M","1.44%"
"06.02.2019","36.920","37.600","37.890","36.730","2.59M","-1.28%"
"05.02.2019","37.400","36.800","37.910","36.800","1.59M","1.49%"
"01.02.2019","36.850","37.900","38.000","36.400","2.91M","-2.54%"
"31.01.2019","37.810","37.450","38.380","37.450","2.62M","1.20%"
"30.01.2019","37.360","37.260","37.740","36.520","2.30M","0.03%"
"29.01.2019","37.350","37.740","37.800","37.010","1.76M","-0.11%"
"28.01.2019","37.390","37.750","38.310","37.130","3.34M","-1.35%"
"25.01.2019","37.900","37.900","38.500","37.700","2.18M","0.72%"
"24.01.2019","37.630","38.110","38.340","37.510","1.89M","-0.71%"
"23.01.2019","37.900","38.570","38.720","37.550","1.75M","-1.84%"
"22.01.2019","38.610","38.810","38.940","38.000","1.60M","-0.28%"
"21.01.2019","38.720","38.250","38.800","38.210","561.59K","1.10%"
"18.01.2019","38.300","38.770","38.880","38.080","2.10M","-0.39%"
"17.01.2019","38.450","38.980","38.990","38.210","2.93M","-1.13%"
"16.01.2019","38.890","38.800","39.120","38.510","1.75M","0.54%"
